Rank	ROMFileName	HashMD5	DateUTC	Title	LikesAtDownload	SourceURL
1	01_8_bit_panda.tic	b88b74e7a6f923251de764d89d6f3507	2026-09-17	8 BIT PANDA	170	https://tic80.com/cart/b88b74e7a6f923251de764d89d6f3507/8_bit_panda.tic
2	02_stele.tic	d00e434d28ec464bf98aa96a4d53cefe	2026-09-17	STELE	149	https://tic80.com/cart/d00e434d28ec464bf98aa96a4d53cefe/stele.tic
3	03_balmung.tic	4fb4348371246d26e9eb7f30e89a444d	2026-09-17	BALMUNG	136	https://tic80.com/cart/4fb4348371246d26e9eb7f30e89a444d/balmung.tic
4	04_mario_bros.tic	51ebbe2af13164b2d47f2a2fe0a5a937	2026-09-17	MARIO BROS?	119	https://tic80.com/cart/51ebbe2af13164b2d47f2a2fe0a5a937/mario_bros.tic
5	05_supernova.tic	6e44e8213e39ffb32ec6163f9c595dec	2026-09-17	SUPERNOVA	112	https://tic80.com/cart/6e44e8213e39ffb32ec6163f9c595dec/supernova.tic
6	06_fps80.tic	13dacc4d8b359a393f9e87bc9b514f42	2026-09-17	FPS80	88	https://tic80.com/cart/13dacc4d8b359a393f9e87bc9b514f42/fps80.tic
7	07_super_meat_boy_tic_80_demake.tic	0550c042b230e937aa8466df95cce6dd	2026-09-17	SUPER MEAT BOY TIC-80 DEMAKE	84	https://tic80.com/cart/0550c042b230e937aa8466df95cce6dd/super_meat_boy_tic_80_demake.tic
8	08_portal_tic_80.tic	62390344cba1e95a941bd5ad05562aff	2026-09-17	PORTAL TIC-80	71	https://tic80.com/cart/62390344cba1e95a941bd5ad05562aff/portal_tic_80.tic
9	09_turns_of_war.tic	edd382c230b67b29c728dbcb76422084	2026-09-17	TURNS OF WAR	70	https://tic80.com/cart/edd382c230b67b29c728dbcb76422084/turns_of_war.tic
10	10_cauliflower_power.tic	74d69f265855b2a8c38ad45116bf48d7	2026-09-17	CAULIFLOWER POWER	69	https://tic80.com/cart/74d69f265855b2a8c38ad45116bf48d7/cauliflower_power.tic
11	11_minetic.tic	739f92b6c28e237d408c3aa3fe28a521	2026-09-17	MINETIC	64	https://tic80.com/cart/739f92b6c28e237d408c3aa3fe28a521/minetic.tic
12	12_bare_bones.tic	8c2e54fc6e2205590f9330ab400e76ca	2026-09-17	BARE BONES	60	https://tic80.com/cart/8c2e54fc6e2205590f9330ab400e76ca/bare_bones.tic
13	13_sonic_mini.tic	a41cd646e41f9ef1aebef1cc00b31a8c	2026-09-17	SONIC MINI	55	https://tic80.com/cart/a41cd646e41f9ef1aebef1cc00b31a8c/sonic_mini.tic
14	14_shadow_over_the_twelve_lands.tic	6be8b893b406f5178eb7509906f71f3e	2026-09-17	SHADOW OVER THE TWELVE LANDS	55	https://tic80.com/cart/6be8b893b406f5178eb7509906f71f3e/shadow_over_the_twelve_lands.tic
15	15_witchem_up.tic	1ed3e0341c2a8866aed873756a89e63d	2026-09-17	WITCHEM UP	55	https://tic80.com/cart/1ed3e0341c2a8866aed873756a89e63d/witchem_up.tic
16	16_c_l_a_y_p_i_g_e_o_n.tic	7340ee6c22d80b2f7568c7dcf24991e2	2026-09-17	C L A Y  P I G E O N	53	https://tic80.com/cart/7340ee6c22d80b2f7568c7dcf24991e2/c_l_a_y_p_i_g_e_o_n.tic
17	17_wcq_no_6.tic	3b836a6239a1ec5b1778750902dae8ef	2026-09-17	WCQ NO.6	53	https://tic80.com/cart/3b836a6239a1ec5b1778750902dae8ef/wcq_no_6.tic
18	18_rebound_2_electric_boogaloo.tic	0316fed3441cd084bc8f11e9f815b487	2026-09-17	REBOUND 2: ELECTRIC BOOGALOO	48	https://tic80.com/cart/0316fed3441cd084bc8f11e9f815b487/rebound_2_electric_boogaloo.tic
19	19_beyond_the_underground.tic	886e8d5aca2ff97cdbe9bcf0e92751d4	2026-09-17	BEYOND THE UNDERGROUND	47	https://tic80.com/cart/886e8d5aca2ff97cdbe9bcf0e92751d4/beyond_the_underground.tic
20	20_powder_game.tic	86883747bfcb2343936428c073bb01d5	2026-09-17	POWDER GAME	46	https://tic80.com/cart/86883747bfcb2343936428c073bb01d5/powder_game.tic
21	21_pacman_80.tic	b3bc41868f7adb595e1b1aaa8715d001	2026-09-17	PACMAN 80	44	https://tic80.com/cart/b3bc41868f7adb595e1b1aaa8715d001/pacman_80.tic
22	22_secret_agents.tic	2d94108c9eb58d40888501cc4a1ea25c	2026-09-17	SECRET AGENTS	41	https://tic80.com/cart/2d94108c9eb58d40888501cc4a1ea25c/secret_agents.tic
23	23_komet.tic	c35192c128f4bf51041e25efe50da44b	2026-09-17	KOMET	39	https://tic80.com/cart/c35192c128f4bf51041e25efe50da44b/komet.tic
24	24_jab_runner.tic	7bffed024a21a52c75f82555c41de625	2026-09-17	JAB RUNNER	38	https://tic80.com/cart/7bffed024a21a52c75f82555c41de625/jab_runner.tic
25	25_structure_mania.tic	d9a232a68185eb17509b358960750edb	2026-09-17	STRUCTURE MANIA	37	https://tic80.com/cart/d9a232a68185eb17509b358960750edb/structure_mania.tic
26	26_miko_blade.tic	aedfe5fe3a533d973d8077f6183f3d35	2026-09-17	MIKO BLADE	36	https://tic80.com/cart/aedfe5fe3a533d973d8077f6183f3d35/miko_blade.tic
27	27_ant_racer.tic	805268c21e85c4933b658c6a4da8e5df	2026-09-17	ANT RACER	35	https://tic80.com/cart/805268c21e85c4933b658c6a4da8e5df/ant_racer.tic
28	28_tic_sweeper_0_9.tic	807a8e8dc8407ab8ba1e4f687acbb1af	2026-09-17	TIC-SWEEPER 0.9	35	https://tic80.com/cart/807a8e8dc8407ab8ba1e4f687acbb1af/tic_sweeper_0_9.tic
29	29_fetch_quest.tic	583215210443f38d5628938d3a8b221b	2026-09-17	FETCH QUEST	34	https://tic80.com/cart/583215210443f38d5628938d3a8b221b/fetch_quest.tic
30	30_the_sky_house.tic	b43a71cbe200fa37a2e13a7c4f8d7fa4	2026-09-17	THE SKY HOUSE	34	https://tic80.com/cart/b43a71cbe200fa37a2e13a7c4f8d7fa4/the_sky_house.tic
31	31_tic_osu.tic	23fbb1eac15f34294cfaba6a7b3baab2	2026-09-17	TIC!OSU	32	https://tic80.com/cart/23fbb1eac15f34294cfaba6a7b3baab2/tic_osu.tic
32	32_warm_wheels.tic	1258f2d0f225e15dcdcb0626f18072a7	2026-09-17	WARM WHEELS	31	https://tic80.com/cart/1258f2d0f225e15dcdcb0626f18072a7/warm_wheels.tic
33	33_rayportal.tic	891bbf96373283fa5bb6e09ff9194f05	2026-09-17	RAYPORTAL	30	https://tic80.com/cart/891bbf96373283fa5bb6e09ff9194f05/rayportal.tic
34	34_the_myths_and_legends_of_bone_knight.tic	e2bd05897541a1e7896768ca6c352c5c	2026-09-17	THE MYTHS AND LEGENDS OF BONE KNIGHT	29	https://tic80.com/cart/e2bd05897541a1e7896768ca6c352c5c/the_myths_and_legends_of_bone_knight.tic
35	35_wolf_80.tic	39bed0f878c8e12546524ea175d67b56	2026-09-17	WOLF-80	29	https://tic80.com/cart/39bed0f878c8e12546524ea175d67b56/wolf_80.tic
36	36_mc80.tic	2fb9397a7d4641ceb3a2c10f19242b0f	2026-09-17	MC80	28	https://tic80.com/cart/2fb9397a7d4641ceb3a2c10f19242b0f/mc80.tic
37	37_five_nights_at_freddy_s.tic	c8db2a2288e5b3e5cc1735ecd730f25c	2026-09-17	FIVE NIGHTS AT FREDDY'S	27	https://tic80.com/cart/c8db2a2288e5b3e5cc1735ecd730f25c/five_nights_at_freddy_s.tic
38	38_continous_factory.tic	b1634271f1f7c7b74c455096b1d38555	2026-09-17	CONTINOUS FACTORY	27	https://tic80.com/cart/b1634271f1f7c7b74c455096b1d38555/continous_factory.tic
39	39_doors_of_doom.tic	bc22227057e83b35eacb476433070895	2026-09-17	DOORS OF DOOM	27	https://tic80.com/cart/bc22227057e83b35eacb476433070895/doors_of_doom.tic
40	40_tiny_dungeon.tic	f6f478d77d048c6a9bd00cc2b64ef5be	2026-09-17	TINY DUNGEON	27	https://tic80.com/cart/f6f478d77d048c6a9bd00cc2b64ef5be/tiny_dungeon.tic
41	41_space_thing.tic	0d8fd120a09a815cd03902dd1794f6dc	2026-09-17	SPACE THING	27	https://tic80.com/cart/0d8fd120a09a815cd03902dd1794f6dc/space_thing.tic
42	42_swordline.tic	edf48d561eee8fa1f597e925bf9f9815	2026-09-17	SWORDLINE	25	https://tic80.com/cart/edf48d561eee8fa1f597e925bf9f9815/swordline.tic
43	43_mctic.tic	102b7ebf0be8ca65ef0a274f0d8cfae1	2026-09-17	MCTIC	25	https://tic80.com/cart/102b7ebf0be8ca65ef0a274f0d8cfae1/mctic.tic
44	44_antvania.tic	18fc6203317dc3484d427113b28a6dc1	2026-09-17	ANTVANIA	25	https://tic80.com/cart/18fc6203317dc3484d427113b28a6dc1/antvania.tic
45	45_super_mario_world.tic	3c0ab3af3dbd748ee870e8d4f52b2a91	2026-09-17	SUPER MARIO WORLD	25	https://tic80.com/cart/3c0ab3af3dbd748ee870e8d4f52b2a91/super_mario_world.tic
46	46_minesweeper.tic	c168af5c0df8fcbbe00cce6ee1c8fd7f	2026-09-17	MINESWEEPER	25	https://tic80.com/cart/c168af5c0df8fcbbe00cce6ee1c8fd7f/minesweeper.tic
47	47_super_hexagon.tic	db376c1a1032d5f6750f02abc4bca306	2026-09-17	SUPER HEXAGON	25	https://tic80.com/cart/db376c1a1032d5f6750f02abc4bca306/super_hexagon.tic
48	48_bokdown.tic	bd3e022742ef2feadf238a3273e83687	2026-09-17	BOKDOWN	24	https://tic80.com/cart/bd3e022742ef2feadf238a3273e83687/bokdown.tic
